draw_date,winning_numbers,mega_ball,multiplier,pick5_1,pick5_2,pick5_3,pick5_4,pick5_5,pick5_sum,mega_ball_mod2,pick5_mod2_sum
2024-05-17,08 17 40 60 70,3,2,8,17,40,60,70,195,1,1
2024-05-14,13 19 43 62 64,6,3,13,19,43,62,64,201,0,3
2024-05-10,13 22 26 32 65,18,4,13,22,26,32,65,158,0,2
2024-05-03,06 13 15 53 56,11,2,6,13,15,53,56,143,1,3
2024-04-30,10 18 27 37 61,5,3,10,18,27,37,61,153,1,3
2024-04-26,15 23 53 57 61,9,3,15,23,53,57,61,209,1,5
2024-04-23,11 17 33 39 43,14,4,11,17,33,39,43,143,0,5
2024-04-19,19 30 34 46 58,3,3,19,30,34,46,58,187,1,1
2024-04-16,21 26 36 44 59,2,4,21,26,36,44,59,186,0,2
2024-03-29,11 30 33 38 60,16,4,11,30,33,38,60,172,0,2
2024-03-15,13 25 50 51 66,6,5,13,25,50,51,66,205,0,3
2024-03-12,02 16 31 57 64,24,3,2,16,31,57,64,170,0,2
2024-03-08,19 20 22 47 58,1,3,19,20,22,47,58,166,1,2
2024-03-01,15 33 37 55 61,24,4,15,33,37,55,61,201,0,5
2024-02-23,04 06 40 41 60,11,5,4,6,40,41,60,151,1,1
2024-02-16,19 23 39 42 67,18,4,19,23,39,42,67,190,0,4
2024-02-09,17 22 29 46 69,1,3,17,22,29,46,69,183,1,3
2024-02-06,02 10 31 44 57,10,4,2,10,31,44,57,144,0,2
2024-02-02,11 22 42 64 69,18,3,11,22,42,64,69,208,0,2
2024-01-30,03 05 16 58 59,11,4,3,5,16,58,59,141,1,3
2024-01-26,14 31 34 50 61,13,3,14,31,34,50,61,190,1,2
2024-01-16,02 10 42 49 54,13,2,2,10,42,49,54,157,1,1
2024-01-12,19 34 35 45 67,7,3,19,34,35,45,67,200,1,4
2024-01-09,12 15 32 33 53,24,3,12,15,32,33,53,145,0,3
2024-01-05,05 23 26 38 44,25,3,5,23,26,38,44,136,1,2
2024-01-02,03 18 27 29 64,1,2,3,18,27,29,64,141,1,3
2023-12-29,11 27 30 62 70,10,3,11,27,30,62,70,200,0,2
2023-12-26,08 10 22 58 64,21,3,8,10,22,58,64,162,1,0
2023-12-22,10 26 36 54 69,4,4,10,26,36,54,69,195,0,1
2023-12-19,17 26 50 58 61,11,3,17,26,50,58,61,212,1,2
2023-12-15,10 20 28 40 54,12,2,10,20,28,40,54,152,0,0
2023-12-12,08 23 44 45 53,3,4,8,23,44,45,53,173,1,3
2023-11-24,06 15 45 59 68,1,4,6,15,45,59,68,193,1,3
2023-11-21,17 22 25 30 38,24,4,17,22,25,30,38,132,0,2
2023-11-17,06 12 31 33 69,17,3,6,12,31,33,69,151,1,3
2023-11-07,03 11 33 42 52,20,2,3,11,33,42,52,141,0,3
2023-11-03,15 32 38 47 65,12,4,15,32,38,47,65,197,0,3
2023-10-31,14 35 37 55 70,15,3,14,35,37,55,70,211,1,3
2023-10-27,11 32 43 57 70,6,4,11,32,43,57,70,213,0,3
2023-10-24,16 20 30 54 59,7,3,16,20,30,54,59,179,1,1
2023-10-20,07 29 36 49 61,22,4,7,29,36,49,61,182,0,4
2023-10-17,05 06 29 32 61,20,4,5,6,29,32,61,133,0,3
2023-10-13,06 18 44 46 68,18,3,6,18,44,46,68,182,0,0
2023-10-10,03 08 17 46 63,7,4,3,8,17,46,63,137,1,3
2023-10-06,12 24 46 57 66,22,3,12,24,46,57,66,205,0,1
2023-10-03,03 19 32 39 59,24,3,3,19,32,39,59,152,0,4
2023-09-26,15 30 35 42 60,16,4,15,30,35,42,60,182,0,2
2023-09-22,10 13 14 57 66,3,2,10,13,14,57,66,160,1,2
2023-09-15,05 13 29 50 53,25,3,5,13,29,50,53,150,1,4
2023-09-12,02 14 21 42 67,18,5,2,14,21,42,67,146,0,2
2023-09-08,03 12 17 51 62,1,3,3,12,17,51,62,145,1,3
2023-09-05,03 43 50 51 65,13,2,3,43,50,51,65,212,1,4
2023-09-01,10 31 42 43 55,8,2,10,31,42,43,55,181,0,3
2023-08-25,12 23 26 31 38,2,2,12,23,26,31,38,130,0,2
2023-08-18,10 20 29 44 66,11,3,10,20,29,44,66,169,1,1
2023-08-04,11 30 45 52 56,20,2,11,30,45,52,56,194,0,2
2023-08-01,08 24 30 45 61,12,4,8,24,30,45,61,168,0,2
2023-07-28,05 10 28 52 63,18,5,5,10,28,52,63,158,0,2
2023-07-18,19 22 31 37 54,18,4,19,22,31,37,54,163,0,3
2023-07-14,10 24 48 51 66,15,2,10,24,48,51,66,199,1,1
2023-07-11,10 17 33 51 64,5,2,10,17,33,51,64,175,1,3
2023-07-07,08 10 17 55 66,3,3,8,10,17,55,66,156,1,2
2023-06-30,13 22 47 51 55,9,3,13,22,47,51,55,188,1,4
2023-06-27,08 34 35 41 52,12,4,8,34,35,41,52,170,0,2
2023-06-20,06 37 39 45 46,21,4,6,37,39,45,46,173,1,3
2023-06-16,04 24 34 45 57,19,3,4,24,34,45,57,164,1,2
2023-06-09,03 19 53 60 68,13,3,3,19,53,60,68,203,1,3
2023-06-02,03 16 19 36 60,25,2,3,16,19,36,60,134,1,2
2023-05-30,13 16 40 64 68,21,2,13,16,40,64,68,201,1,1
2023-05-26,12 20 37 41 64,1,3,12,20,37,41,64,174,1,2
2023-05-23,03 10 22 65 66,19,2,3,10,22,65,66,166,1,2
2023-05-19,05 11 41 44 55,14,2,5,11,41,44,55,156,0,4
2023-05-09,04 37 46 48 51,19,3,4,37,46,48,51,186,1,2
2023-05-05,16 18 28 42 43,11,3,16,18,28,42,43,147,1,1
2023-04-25,08 29 46 47 48,12,2,8,29,46,47,48,178,0,2
2023-04-21,03 21 29 46 63,9,3,3,21,29,46,63,162,1,4
2023-04-14,23 27 41 48 51,22,2,23,27,41,48,51,190,0,4
2023-04-07,12 32 49 51 66,21,2,12,32,49,51,66,210,1,2
2023-04-04,01 37 45 62 64,4,3,1,37,45,62,64,209,0,3
2023-03-31,16 26 27 42 61,23,4,16,26,27,42,61,172,1,2
2023-03-24,14 17 33 42 66,15,3,14,17,33,42,66,172,1,2
2023-03-17,26 28 29 39 49,25,3,26,28,29,39,49,171,1,3
2023-03-10,09 20 59 60 63,5,2,9,20,59,60,63,211,1,3
2023-03-07,15 22 25 28 69,21,4,15,22,25,28,69,159,1,3
2023-03-03,08 25 36 39 67,11,4,8,25,36,39,67,175,1,3
2023-02-28,14 16 40 52 59,13,2,14,16,40,52,59,181,1,1
2023-02-24,02 22 49 65 67,7,4,2,22,49,65,67,205,1,3
2023-02-21,02 15 30 36 63,24,2,2,15,30,36,63,146,0,2
2023-02-17,02 33 38 57 70,13,3,2,33,38,57,70,200,1,2
2023-02-14,23 24 35 40 43,1,3,23,24,35,40,43,165,1,3
2023-02-10,20 29 30 52 58,19,3,20,29,30,52,58,189,1,1
2023-02-07,09 15 46 55 57,4,2,9,15,46,55,57,182,0,4
2023-02-03,01 04 50 54 59,17,2,1,4,50,54,59,168,1,2
2023-01-27,04 43 46 47 61,22,4,4,43,46,47,61,201,0,3
2023-01-20,20 29 31 64 66,17,4,20,29,31,64,66,210,1,2
2023-01-06,03 20 46 59 63,13,3,3,20,46,59,63,191,1,3
2023-01-03,25 29 33 41 44,18,4,25,29,33,41,44,172,0,4
2022-12-27,09 13 36 59 61,11,2,9,13,36,59,61,178,1,4
2022-12-23,15 21 32 38 62,8,4,15,21,32,38,62,168,0,2
2022-12-16,08 35 40 53 56,11,3,8,35,40,53,56,192,1,2
2022-12-13,14 22 48 58 68,6,2,14,22,48,58,68,210,0,0
2022-12-09,08 19 53 61 69,19,4,8,19,53,61,69,210,1,4
2022-12-02,01 21 36 46 52,16,3,1,21,36,46,52,156,0,2
2022-11-29,20 23 37 46 52,6,4,20,23,37,46,52,178,0,2
2022-11-18,02 14 16 38 66,9,4,2,14,16,38,66,136,1,0
2022-11-15,06 19 28 46 61,18,2,6,19,28,46,61,160,0,2
2022-11-11,01 05 17 37 70,22,3,1,5,17,37,70,130,0,4
2022-11-08,05 13 29 38 59,23,4,5,13,29,38,59,144,1,4
2022-11-04,02 20 47 55 59,19,2,2,20,47,55,59,183,1,3
2022-10-28,04 18 31 53 69,7,2,4,18,31,53,69,175,1,3
2022-10-25,21 30 35 45 66,21,3,21,30,35,45,66,197,1,3
2022-10-18,01 15 20 44 67,23,3,1,15,20,44,67,147,1,3
2022-10-14,09 22 26 41 44,19,2,9,22,26,41,44,142,1,2
2022-10-07,06 11 29 36 55,21,2,6,11,29,36,55,137,1,3
2022-09-30,16 26 37 40 51,6,4,16,26,37,40,51,170,0,2
2022-09-27,08 14 24 43 51,9,3,8,14,24,43,51,140,1,2
2022-09-20,09 21 28 30 52,10,5,9,21,28,30,52,140,0,2
2022-09-16,15 30 35 38 66,12,4,15,30,35,38,66,184,0,2
2022-09-13,14 25 38 59 64,21,4,14,25,38,59,64,200,1,2
2022-09-09,16 21 54 55 69,22,2,16,21,54,55,69,215,0,3
2022-09-06,06 17 46 59 68,2,4,6,17,46,59,68,196,0,2
2022-08-30,02 38 55 57 65,17,3,2,38,55,57,65,217,1,3
2022-08-26,06 27 30 38 64,23,2,6,27,30,38,64,165,1,1
2022-08-23,03 05 47 48 67,7,2,3,5,47,48,67,170,1,4
2022-08-19,12 18 24 46 65,3,4,12,18,24,46,65,165,1,1
2022-08-16,33 35 41 45 51,1,2,33,35,41,45,51,205,1,5
2022-08-12,23 24 50 54 64,3,3,23,24,50,54,64,215,1,1
2022-08-05,02 05 29 64 69,18,3,2,5,29,64,69,169,0,3
2022-08-02,10 14 25 37 63,14,3,10,14,25,37,63,149,0,3
2022-07-19,02 31 32 37 70,25,3,2,31,32,37,70,172,1,2
2022-07-15,08 20 26 53 64,15,5,8,20,26,53,64,171,1,1
2022-07-12,04 07 10 45 64,12,2,4,7,10,45,64,130,0,2
2022-07-01,01 27 29 38 62,12,3,1,27,29,38,62,157,0,3
2022-06-28,07 12 21 43 55,11,2,7,12,21,43,55,138,1,4
2022-06-14,30 37 38 42 58,22,2,30,37,38,42,58,205,0,1
2022-06-07,04 34 40 41 53,3,4,4,34,40,41,53,172,1,2
2022-06-03,11 16 22 48 59,11,4,11,16,22,48,59,156,1,2
2022-05-31,06 15 41 63 64,24,4,6,15,41,63,64,189,0,3
2022-05-27,03 14 40 53 54,8,3,3,14,40,53,54,164,0,2
2022-05-24,03 05 06 63 68,25,3,3,5,6,63,68,145,1,3
2022-05-17,07 21 24 41 65,24,4,7,21,24,41,65,158,0,4
2022-05-13,11 41 43 44 65,13,3,11,41,43,44,65,204,1,4
2022-05-10,15 19 20 61 70,6,3,15,19,20,61,70,185,0,3
2022-05-06,16 21 33 52 70,10,2,16,21,33,52,70,192,0,2
2022-05-03,15 19 27 35 57,17,2,15,19,27,35,57,153,1,5
2022-04-29,09 11 34 49 66,15,2,9,11,34,49,66,169,1,3
2022-04-26,05 07 19 46 69,2,4,5,7,19,46,69,146,0,4
2022-04-22,07 28 29 58 59,10,3,7,28,29,58,59,181,0,3
2022-04-19,02 09 33 47 53,24,3,2,9,33,47,53,144,0,4
2022-04-15,04 17 20 46 64,23,4,4,17,20,46,64,151,1,1
2022-03-29,07 22 36 45 47,12,2,7,22,36,45,47,157,0,3
2022-03-25,03 13 42 51 58,17,2,3,13,42,51,58,167,1,3
2022-03-22,08 15 21 27 61,8,3,8,15,21,27,61,132,0,4
2022-03-15,09 14 28 59 60,24,5,9,14,28,59,60,170,0,2
2022-03-11,24 28 39 44 66,25,3,24,28,39,44,66,201,1,1
2022-03-08,07 18 38 58 64,24,3,7,18,38,58,64,185,0,1
2022-03-04,11 19 28 46 47,5,4,11,19,28,46,47,151,1,3
2022-03-01,18 22 38 39 50,18,2,18,22,38,39,50,167,0,1
2022-02-25,15 31 40 56 66,4,3,15,31,40,56,66,208,0,2
2022-02-22,06 17 22 57 62,3,3,6,17,22,57,62,164,1,2
2022-02-18,06 11 50 63 68,17,4,6,11,50,63,68,198,1,2
2022-02-08,01 17 20 52 54,2,3,1,17,20,52,54,144,0,2
2022-02-04,07 16 34 44 61,24,4,7,16,34,44,61,162,0,2
2022-02-01,11 24 38 62 66,1,4,11,24,38,62,66,201,1,1
2022-01-28,03 16 25 44 55,13,3,3,16,25,44,55,143,1,3
2022-01-25,03 12 38 53 58,13,3,3,12,38,53,58,164,1,2
2022-01-18,04 19 39 42 52,9,4,4,19,39,42,52,156,1,2
2022-01-11,02 03 19 52 58,16,2,2,3,19,52,58,134,0,2
2022-01-07,07 29 43 56 57,6,3,7,29,43,56,57,192,0,4
2021-12-31,02 05 30 46 61,8,3,2,5,30,46,61,144,0,2
2021-12-24,16 17 25 36 37,16,2,16,17,25,36,37,131,0,3
2021-12-17,21 32 38 48 62,10,3,21,32,38,48,62,201,0,1
2021-12-10,23 25 40 42 60,8,2,23,25,40,42,60,190,0,2
2021-12-07,01 07 40 43 68,1,2,1,7,40,43,68,159,1,3
2021-11-26,07 27 37 42 59,2,2,7,27,37,42,59,172,0,4
2021-11-23,07 24 54 57 58,6,3,7,24,54,57,58,200,0,2
2021-11-19,05 23 52 53 59,18,5,5,23,52,53,59,192,0,4
2021-11-16,06 22 44 53 65,3,3,6,22,44,53,65,190,1,2
2021-11-12,30 32 42 46 48,15,2,30,32,42,46,48,198,1,0
2021-11-05,10 15 20 66 68,18,2,10,15,20,66,68,179,0,1
2021-11-02,05 10 26 58 65,9,2,5,10,26,58,65,164,1,2
2021-10-29,15 26 28 35 45,4,3,15,26,28,35,45,149,0,3
2021-10-26,06 14 19 56 62,9,4,6,14,19,56,62,157,1,1
2021-10-22,09 14 26 29 66,22,3,9,14,26,29,66,144,0,2
2021-10-15,03 20 31 34 65,18,3,3,20,31,34,65,153,0,3
2021-10-08,21 24 36 40 70,22,5,21,24,36,40,70,191,0,1
2021-10-01,21 25 36 62 63,6,2,21,25,36,62,63,207,0,3
2021-09-24,17 21 27 43 56,15,3,17,21,27,43,56,164,1,4
2021-09-17,17 32 40 59 61,18,3,17,32,40,59,61,209,0,3
2021-09-14,04 13 19 63 64,16,2,4,13,19,63,64,163,0,3
2021-09-10,20 32 35 47 64,18,2,20,32,35,47,64,198,0,2
2021-09-07,15 17 25 32 53,12,3,15,17,25,32,53,142,0,4
2021-09-03,07 10 12 61 65,3,2,7,10,12,61,65,155,1,3
2021-08-31,08 14 31 58 68,15,3,8,14,31,58,68,179,1,1
2021-08-27,01 10 44 47 56,23,3,1,10,44,47,56,158,1,2
2021-08-24,17 18 26 52 67,19,2,17,18,26,52,67,180,1,2
2021-08-13,17 21 35 40 53,11,2,17,21,35,40,53,166,1,4
2021-08-06,09 18 40 46 69,9,2,9,18,40,46,69,182,1,2
2021-07-30,19 26 31 52 68,10,3,19,26,31,52,68,196,0,2
2021-07-27,02 35 36 54 64,11,3,2,35,36,54,64,191,1,1
2021-07-23,13 17 19 40 69,17,3,13,17,19,40,69,158,1,4
2021-07-20,10 26 30 52 57,10,2,10,26,30,52,57,175,0,1
2021-07-16,24 25 47 52 57,24,4,24,25,47,52,57,205,0,3
2021-07-09,06 37 39 41 46,17,2,6,37,39,41,46,169,1,3
2021-07-02,08 31 32 34 45,19,2,8,31,32,34,45,150,1,2
2021-06-29,07 38 50 52 69,21,3,7,38,50,52,69,216,1,2
2021-06-25,17 20 42 45 65,12,4,17,20,42,45,65,189,0,3
2021-06-22,01 26 48 51 59,25,4,1,26,48,51,59,185,1,3
2021-06-18,14 36 44 46 53,18,2,14,36,44,46,53,193,0,1
2021-06-15,18 22 27 38 52,11,4,18,22,27,38,52,157,1,1
2021-06-08,09 22 39 41 54,19,3,9,22,39,41,54,165,1,3
2021-06-04,04 30 34 41 64,8,3,4,30,34,41,64,173,0,1
2021-06-01,07 11 33 58 63,23,2,7,11,33,58,63,172,1,4
2021-05-28,10 14 20 47 70,15,2,10,14,20,47,70,161,1,1
2021-05-25,14 21 31 34 54,11,3,14,21,31,34,54,154,1,2
2021-05-18,03 05 56 61 66,4,2,3,5,56,61,66,191,0,3
2021-05-14,03 18 41 44 68,3,2,3,18,41,44,68,174,1,2
2021-05-04,04 27 32 57 63,22,3,4,27,32,57,63,183,0,3
2021-04-30,08 19 26 48 49,5,3,8,19,26,48,49,150,1,2
2021-04-27,15 22 30 41 42,25,4,15,22,30,41,42,150,1,2
2021-04-23,04 28 29 30 60,25,3,4,28,29,30,60,151,1,1
2021-04-20,06 23 43 49 52,5,3,6,23,43,49,52,173,1,3
2021-04-16,17 27 28 50 55,25,4,17,27,28,50,55,177,1,3
2021-04-13,10 15 19 45 68,9,4,10,15,19,45,68,157,1,3
2021-04-09,22 26 27 58 66,12,2,22,26,27,58,66,199,0,1
2021-04-02,10 42 48 53 62,19,2,10,42,48,53,62,215,1,1
2021-03-30,11 37 47 53 56,15,3,11,37,47,53,56,204,1,4
2021-03-26,04 25 37 46 67,15,3,4,25,37,46,67,179,1,3
